threshold,alerts,alert_rate,true_positives,false_positives,false_negatives,true_negatives,precision,recall,false_positive_rate,baseline_cost,model_assisted_cost,fraud_loss_uncaught,fraud_loss_caught,false_positive_friction_cost,review_operations_cost,net_savings,baseline_cost_per_100k,model_cost_per_100k,net_savings_per_100k
0.9869070456308583,36,0.0005056037751748546,36,0,87,71079,1.0,0.2926829268292683,0.0,15114.380000000003,11869.410000000002,11761.410000000002,3352.97,0.0,108.0,3244.970000000001,21227.465520631446,16670.05140305048,4557.414117580968
0.9264800247265593,72,0.0010112075503497092,70,2,53,71077,0.9722222222222222,0.5691056910569106,2.8137705932835295e-05,15114.380000000003,9365.960000000001,9139.910000000002,5974.469999999999,10.05,216.0,5748.420000000002,21227.465520631446,13154.068705935228,8073.396814696219
0.9,75,0.0010533411982809472,73,2,50,71077,0.9733333333333334,0.5934959349593496,2.8137705932835295e-05,15114.380000000003,9168.369999999999,8933.32,6181.0599999999995,10.05,225.0,5946.010000000004,21227.465520631446,12876.562456110782,8350.903064520664
0.75,94,0.0013201876351787872,91,3,32,71076,0.9680851063829787,0.7398373983739838,4.2206558899252944e-05,15114.380000000003,5539.94975,5240.65,9873.730000000001,17.29975,282.0,9574.430250000003,21227.465520631446,7780.609744108311,13446.855776523134
0.5,116,0.001629167720007865,100,16,23,71063,0.8620689655172413,0.8130081300813008,0.00022510164746268236,15114.380000000003,4810.720499999999,4344.57,10769.81,118.1505,348.0,10303.659500000003,21227.465520631446,6756.4401280862885,14471.025392545158
0.25,134,0.0018819696075952923,105,29,18,71050,0.7835820895522388,0.8536585365853658,0.0004079967360261118,15114.380000000003,4759.15525,4166.58,10947.800000000001,190.57525,402.0,10355.224750000003,21227.465520631446,6684.019058453414,14543.446462178032
0.21913566546994265,143,0.002008370551389006,105,38,18,71041,0.7342657342657343,0.8536585365853658,0.0005346164127238706,15114.380000000003,4837.3369999999995,4166.58,10947.800000000001,241.757,429.0,10277.043000000003,21227.465520631446,6793.821802758349,14433.643717873098
0.1,205,0.002879132608634589,106,99,17,70980,0.5170731707317073,0.8617886178861789,0.0013928164436753472,15114.380000000003,5623.017499999999,4147.789999999999,10966.59,860.2275000000001,615.0,9491.362500000003,21227.465520631446,7897.274655206313,13330.190865425133
0.05,355,0.004985815005196483,108,247,15,70832,0.30422535211267604,0.8780487804878049,0.003475006682705159,15114.380000000003,7782.10225,3756.62,11357.76,2960.48225,1065.0,7332.277750000003,21227.465520631446,10929.611878879807,10297.85364175164
0.04986837840617572,357,0.0050139041038173085,108,249,15,70830,0.3025210084033613,0.8780487804878049,0.0035031443886379943,15114.380000000003,7798.14325,3756.62,11357.76,2970.52325,1071.0,7316.236750000003,21227.465520631446,10952.14074042864,10275.324780202807
0.026878774622212467,713,0.010013763658324204,108,605,15,70474,0.1514726507713885,0.8780487804878049,0.008511656044682677,15114.380000000003,14690.37125,3756.62,11357.76,8794.751250000001,2139.0,424.0087500000027,21227.465520631446,20631.9643408893,595.5011797421458
0.019865922116987993,1069,0.0150136232128311,108,961,15,70118,0.10102899906454631,0.8780487804878049,0.01352016770072736,15114.380000000003,20088.092500000002,3756.62,11357.76,13124.472500000002,3207.0,-4973.7125,21227.465520631446,28212.820566838014,-6985.355046206567
0.01432894034470823,1425,0.020013482767337998,109,1316,14,69763,0.07649122807017544,0.8861788617886179,0.018514610503805623,15114.380000000003,25143.94125,3212.62,11901.76,17656.32125,4275.0,-10029.561249999997,21227.465520631446,35313.532274374316,-14086.066753742867
0.011313633491095517,2137,0.03001320187635179,110,2027,13,69052,0.05147402901263454,0.8943089430894309,0.028517564962928572,15114.380000000003,34673.35475,2562.5199999999995,12551.859999999999,25699.83475,6411.0,-19558.974749999994,21227.465520631446,48697.16405438049,-27469.698533749044
0.00701530612244898,3573,0.05018117468610432,112,3461,11,67618,0.0313462076686258,0.9105691056910569,0.04869230011677148,15114.380000000003,54446.403249999996,2501.5699999999997,12612.810000000001,41225.833249999996,10719.0,-39332.02324999999,21227.465520631446,76467.51952192353,-55240.05400129208
0.005788177339901478,5698,0.08002584197073116,114,5584,9,65495,0.020007020007020006,0.926829268292683,0.07856047496447614,15114.380000000003,79477.85400000002,2366.76,12747.62,60017.09400000001,17094.0,-64363.47400000002,21227.465520631446,111623.06395887758,-90395.59843824613
0.0024226116324280685,7121,0.10001123563944833,114,7007,9,64072,0.016008987501755372,0.926829268292683,0.09858045273568845,15114.380000000003,95402.58625000001,2366.76,12747.62,71672.82625000001,21363.0,-80288.20625,21227.465520631446,133988.63269290188,-112761.16717227045
